Results,"SybilRank
one attacker targeting top nodes","SybilRank
one attacker targeting seeds","SybilRank
one attacker group target attack","SybilRank
one attacker targeting random nodes","SybilRank
one seed as attacker","SybilRank
one honest as attacker","SybilRank
one group targeting seeds","SybilRank
one group targeting top nodes","SybilGroupRank
one honest as attacker","SybilGroupRank
one group targeting seeds","WeightedSybilRank
one honest as attacker","SybilGroupRank
one attacker targeting top nodes","SybilGroupRank
one attacker targeting random nodes","WeightedSybilRank
one group targeting seeds","SybilGroupRank
one seed as attacker","SybilRank
one group targeting random nodes","SybilGroupRank
one group targeting top nodes","SybilGroupRank
one attacker targeting seeds","WeightedSybilRank
one attacker targeting top nodes","WeightedSybilRank
one attacker targeting random nodes","WeightedSybilRank
one seed as attacker","SybilRank
one group group target attack","SybilRank
one group of seeds as attacker","WeightedSybilRank
one attacker targeting seeds","SybilRank
n groups targeting seeds","SybilGroupRank
one attacker group target attack","WeightedSybilRank
one group targeting top nodes","SybilRank
one group of honests as attacker","SybilRank
n groups targeting top nodes","SybilRank
n groups targeting random nodes","WeightedSybilRank
one attacker group target attack","SybilRank
n groups of seeds as attacker","SybilGroupRank
one group targeting random nodes","WeightedSybilRank
one group targeting random nodes","SybilGroupRank
one group of honests as attacker","SybilGroupRank
one group of seeds as attacker","SybilRank
n groups of honests as attacker","SybilGroupRank
n groups of seeds as attacker","SybilGroupRank
n groups targeting random nodes","WeightedSybilRank
one group of seeds as attacker","WeightedSybilRank
one group of honests as attacker","SybilRank
manual attack","WeightedSybilRank
n groups of seeds as attacker","WeightedSybilRank
n groups targeting random nodes","SybilGroupRank
n groups targeting seeds","WeightedSybilRank
n groups targeting seeds","SybilGroupRank
n groups targeting top nodes","WeightedSybilRank
n groups targeting top nodes","SybilGroupRank
one group group target attack","WeightedSybilRank
one group group target attack","SybilGroupRank
n groups of honests as attacker","WeightedSybilRank
n groups of honests as attacker","SybilGroupRank
manual attack","WeightedSybilRank
manual attack"
No. Successful Honests,423,241,458,449,338,425,59,361,426,399,356,429,431,101,389,425,422,429,344,390,207,417,125,228,108,431,215,400,382,443,390,161,431,390,422,339,406,426,429,24,328,80,379,390,368,390,351,393,411,335,433,390,412,390
Successful Honests Percent,80.11363636363636,45.64393939393939,86.74242424242425,85.03787878787878,64.01515151515152,80.49242424242425,11.174242424242424,68.37121212121212,80.68181818181817,75.56818181818183,67.42424242424242,81.25,81.62878787878788,19.12878787878788,73.67424242424242,80.49242424242425,79.92424242424242,81.25,65.15151515151516,73.86363636363636,39.20454545454545,78.97727272727273,23.674242424242426,43.18181818181818,20.454545454545457,81.62878787878788,40.71969696969697,75.75757575757575,72.34848484848484,83.90151515151516,73.86363636363636,30.492424242424242,81.62878787878788,73.86363636363636,79.92424242424242,64.20454545454545,76.89393939393939,80.68181818181817,81.25,4.545454545454546,62.121212121212125,15.151515151515152,71.78030303030303,73.86363636363636,69.6969696969697,73.86363636363636,66.47727272727273,74.43181818181817,77.8409090909091,63.4469696969697,82.00757575757575,73.86363636363636,78.03030303030303,73.86363636363636
Sybils scored >= %,0.17647058823529413,0.55119825708061,0.004357298474945534,0.07407407407407407,0.3769063180827887,0.15468409586056645,0.9302832244008714,0.23965141612200436,0.01160092807424594,0.07424593967517401,0.18461538461538463,0.009237875288683603,0.0,0.9333333333333333,0.09744779582366589,0.08278867102396514,0.025404157043879907,0.004640371229698376,0.21882951653944022,0.0,0.6128205128205129,0.09586056644880174,0.7320261437908496,0.6282051282051282,0.9520697167755992,0.0,0.6793893129770993,0.13071895424836602,0.33769063180827885,0.06318082788671024,0.0,0.9629629629629629,0.0,0.0,0.025404157043879907,0.21345707656612528,0.26143790849673204,0.05336426914153132,0.004640371229698376,0.982051282051282,0.26329113924050634,0.8845315904139434,0.3487179487179487,0.002564102564102564,0.16241299303944315,0.020512820512820513,0.19168591224018475,0.020356234096692113,0.08545034642032333,0.6132315521628499,0.004618937644341801,0.007692307692307693,0.04408352668213457,0.0
Avg Honest - Avg Sybil,13.174648989898982,-0.47618686868688087,18.89294696969696,19.50789898989897,6.357671717171703,14.106441919191909,-11.097489898989895,6.9569797979798,23.88755555555559,8.429353535353528,6.945098484848481,26.080383838383867,31.12050505050508,-14.872878787878781,12.45323232323235,12.532921717171707,14.719111111111125,25.804747474747483,6.527452020202019,10.833063131313143,-0.1371136363636385,10.078150505050505,-7.517335858585845,0.5086085858585854,-9.196626262626275,31.981616161616195,0.12206818181817347,11.948787878787877,8.053095959595968,16.399118686868686,10.997515151515163,-7.307366161616152,31.30303030303033,10.354843434343445,11.139535353535365,5.059878787878759,11.818525252525248,23.15683838383838,27.121414141414146,-33.973717171717155,6.091530303030299,-19.447696969696977,9.074595959595957,10.597515151515156,7.152202020202036,9.644934343434342,10.28771717171721,11.243376262626262,17.2908919191919,5.946002020202024,31.125797979797998,10.72007070707071,17.46606060606061,10.998545454545466
Max Seed,86.44,70.14,86.5,100.0,86.49,86.5,39.38,85.56,100.0,100.0,100.0,100.0,100.0,85.12,100.0,85.52,100.0,100.0,100.0,100.0,100.0,85.51,84.93,100.0,49.64,100.0,96.2,86.24,85.76,90.81,100.0,86.19,100.0,100.0,71.43,100.0,86.44,100.0,100.0,94.87,100.0,86.49,100.0,100.0,100.0,100.0,100.0,96.28,100.0,96.2,100.0,100.0,100.0,100.0
Avg Seed,46.33151515151515,43.74636363636364,47.94999999999998,54.95787878787879,45.83757575757577,47.64151515151514,24.06212121212121,34.833939393939396,61.816363636363626,41.25242424242424,51.51909090909093,59.65727272727271,61.32515151515153,45.323939393939405,61.70818181818181,41.22363636363636,41.838484848484846,59.52969696969698,53.53787878787878,51.616666666666674,51.887272727272716,34.17454545454545,34.75878787878788,53.29,38.20121212121211,61.326363636363645,40.714848484848474,44.651515151515156,36.94060606060605,46.21242424242424,51.628484848484845,43.3769696969697,61.323636363636375,49.85515151515152,32.24696969696971,40.05727272727273,47.39818181818181,61.68333333333333,61.0021212121212,39.540606060606066,52.510303030303014,47.69242424242424,49.39212121212121,50.46666666666667,46.13272727272726,44.35030303030304,50.05212121212119,44.780909090909084,59.620909090909095,40.65515151515151,61.323333333333345,51.616969696969704,61.255151515151525,51.40272727272727
Min Seed,15.57,15.07,15.7,18.03,15.69,15.7,11.54,13.12,32.25,16.54,19.77,30.79,31.89,4.34,32.17,11.63,16.94,30.6,21.28,19.53,21.04,12.4,16.48,16.19,12.08,31.89,17.64,14.31,15.32,15.92,19.53,15.21,31.89,6.87,13.72,11.99,15.33,32.08,31.56,14.5,19.37,15.71,19.76,19.51,20.71,2.77,22.73,19.7,31.77,17.61,31.89,19.52,31.81,19.53
Max Honest,84.16,69.6,84.19,97.38,84.19,84.19,32.63,83.58,100.0,100.0,80.3,100.0,100.0,100.0,100.0,83.65,100.0,100.0,86.98,79.32,85.5,83.54,83.37,80.78,35.9,100.0,100.0,84.1,83.73,88.53,79.31,83.98,100.0,79.28,100.0,100.0,84.17,100.0,100.0,100.0,87.66,84.19,80.4,79.3,100.0,63.46,100.0,100.0,100.0,100.0,100.0,79.3,100.0,79.31
Avg Honest,18.49989898989898,17.949313131313122,19.06769696969696,21.643898989898968,18.421171717171703,18.68919191919191,10.697010101010097,14.755979797979801,32.30755555555559,16.349353535353526,10.896848484848483,30.960383838383866,31.98050505050508,14.492121212121221,32.24323232323234,16.433171717171707,18.719111111111125,30.614747474747485,11.786202020202019,10.895313131313143,11.439636363636362,14.511050505050504,14.54941414141415,11.787858585858585,12.137373737373728,31.981616161616195,10.81981818181817,16.028787878787877,15.569595959595967,18.622868686868685,10.997515151515163,17.852383838383844,31.98303030303033,10.438343434343446,15.77953535353536,15.749878787878759,18.417191919191914,32.27383838383838,31.833414141414146,9.152282828282834,10.305030303030298,19.02230303030303,11.097595959595957,10.621515151515155,19.702202020202037,9.773434343434342,23.86971717171721,11.452626262626262,29.175191919191903,10.810202020202016,31.982464646464663,10.859737373737376,31.93606060606061,10.998545454545466
Min Honest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
